Time,Target X,Current X,Error X,Integral Error X,Derivative Error X,Target Y,Current Y,Error Y,Integral Error Y,Derivative Error Y,dt,Kp_x,Ki_x,Kd_x,Kp_y,Ki_y,Kd_y,P_x,I_x,D_x,P_y,I_y,D_y,Output X,Output Y
1741027013.0039175,640,666.9545288085938,-26.95452880859375,-46928562778.554016,-1.5481970473328377e-08,7148.9463,519.0454711914062,6629.900817871094,11542836417450.34,3.80804017878623e-06,1741027013.0039175,0.001,0,0,0,0,0,-0.02695452880859375,-0.0,-0.0,0.0,0.0,0.0,-0.02695452880859375,0.0
1741027013.0245645,640,666.4000244140625,-26.4000244140625,-45963155649.390816,-1.5163477772926443e-08,7154.098,520.0,6634.09814453125,11550144076685.047,3.8104510124781437e-06,1741027013.0245645,0.001,0,0,0,0,0,-0.0264000244140625,-0.0,-0.0,0.0,0.0,0.0,-0.0264000244140625,0.0
1741027013.046084,640,666.4000244140625,-26.4000244140625,-45963155649.95892,-1.516347777273902e-08,7159.25,520.0,6639.25,11559113596366.213,3.8134101023418542e-06,1741027013.046084,0.001,0,0,0,0,0,-0.0264000244140625,-0.0,-0.0,0.0,0.0,0.0,-0.0264000244140625,0.0
1741027013.0664814,640,1274.3182373046875,-634.3182373046875,-1104365186028.1755,-3.643356665600834e-07,7164.402,219.5,6944.90185546875,12091261733466.621,3.988968467086936e-06,1741027013.0664814,0.001,0,0,0,0,0,-0.6343182373046875,-0.0,-0.0,0.0,0.0,0.0,-0.6343182373046875,0.0
1741027013.089902,640,669.423095703125,-29.423095703125,-51226404427.87005,-1.6899850192965197e-08,7169.5537,522.3461303710938,6647.207580566406,11572967959382.084,3.817980726656975e-06,1741027013.089902,0.001,0,0,0,0,0,-0.029423095703125,-0.0,-0.0,0.0,0.0,0.0,-0.029423095703125,0.0
1741027013.109903,640,669.423095703125,-29.423095703125,-51226404428.45854,-1.6899850192771048e-08,7174.7056,522.3461303710938,6652.359436035156,11581937479053.768,3.820939816523813e-06,1741027013.109903,0.001,0,0,0,0,0,-0.029423095703125,-0.0,-0.0,0.0,0.0,0.0,-0.029423095703125,0.0
1741027013.134649,640,1273.75,-633.75,-1103375869574.0837,-3.640092860242063e-07,7179.8574,219.5,6960.357421875,12118170292556.617,3.997845736662728e-06,1741027013.134649,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027013.1582043,640,1273.75,-633.75,-1103375869589.012,-3.6400928601928143e-07,7185.0093,219.5,6965.50927734375,12127139812259.55,4.000804826519257e-06,1741027013.1582043,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027013.179458,640,673.5,-33.5,-58324404941.51184,-1.9241516499403653e-08,7190.161,522.5,6667.6611328125,11608578146953.309,3.829728707446095e-06,1741027013.179458,0.001,0,0,0,0,0,-0.0335,-0.0,-0.0,0.0,0.0,0.0,-0.0335,0.0
1741027013.199975,640,673.5,-33.5,-58324404942.199165,-1.92415164991769e-08,7195.313,522.5,6672.81298828125,11617547666629.305,3.83268779731151e-06,1741027013.199975,0.001,0,0,0,0,0,-0.0335,-0.0,-0.0,0.0,0.0,0.0,-0.0335,0.0
1741027013.223857,640,673.2857055664062,-33.28570556640625,-57951312545.32898,-1.9118431427879548e-08,7200.465,523.2857055664062,6677.179138183594,11625149251712.43,3.835195598613644e-06,1741027013.223857,0.001,0,0,0,0,0,-0.033285705566406254,-0.0,-0.0,0.0,0.0,0.0,-0.033285705566406254,0.0
1741027013.2455373,640,673.2857055664062,-33.28570556640625,-57951312546.05063,-1.9118431427641476e-08,7205.6167,523.2857055664062,6682.330993652344,11634118771396.623,3.838154688476355e-06,1741027013.2455373,0.001,0,0,0,0,0,-0.033285705566406254,-0.0,-0.0,0.0,0.0,0.0,-0.033285705566406254,0.0
1741027013.2655907,640,671.7941284179688,-31.79412841796875,-55354436438.91877,-1.82617088509922e-08,7210.7686,519.7941284179688,6690.974426269531,11649167221204.49,3.84311924817265e-06,1741027013.2655907,0.001,0,0,0,0,0,-0.03179412841796875,-0.0,-0.0,0.0,0.0,0.0,-0.03179412841796875,0.0
1741027013.293948,640,670.4166870117188,-30.41668701171875,-52956273742.30952,-1.747054283446854e-08,7215.9204,516.75,6699.17041015625,11663436650741.527,3.847826805100347e-06,1741027013.293948,0.001,0,0,0,0,0,-0.030416687011718752,-0.0,-0.0,0.0,0.0,0.0,-0.030416687011718752,0.0
1741027013.3165402,640,670.4166870117188,-30.41668701171875,-52956273742.9967,-1.7470542834241838e-08,7221.0723,516.75,6704.322265625,11672406170432.674,3.850785894960764e-06,1741027013.3165402,0.001,0,0,0,0,0,-0.030416687011718752,-0.0,-0.0,0.0,0.0,0.0,-0.030416687011718752,0.0
